episode_id_dataset,scene,object_category,object_name,instruction_text,num_view_points,start_position,goal_position
33,00871-VBzV5z6i1WS,bed,bed_727,queen-sized bed located near the dresser and the book. look for a bed that is positioned slightly below the dresser and to the right of the book.,13,"[-2.59549, 0.04654, -0.40328]","[7.74557, 0.56777, -9.67962]"
34,00871-VBzV5z6i1WS,bath towel,bath towel_634,"bath towel hanging on a hook in the bathroom, relative to the shower stall, shower glass, and shower bench.",5,"[5.08637, 0.0428, -3.86379]","[2.27941, 1.59826, -9.13734]"
35,00871-VBzV5z6i1WS,sofa chair,sofa chair_254,sofa chair near the table stand.,53,"[-5.50271, 0.04654, -0.65568]","[-3.41443, 0.42378, -1.12826]"
36,00876-mv2HUxq3B53,tv,tv_563,samsung smart tv located near the cabinet and mirror.,21,"[-9.09274, 0.05035, 14.24862]","[4.34915, 1.15814, 11.9563]"
37,00876-mv2HUxq3B53,sink cabinet,sink cabinet_289,"sink cabinet. it is located next to the mirror on the left side, between the flower vase on the right and the lamp slightly further towards the top.",38,"[-2.49723, 0.0054, 10.26332]","[3.35343, 0.62081, -2.21951]"
38,00876-mv2HUxq3B53,bathtub,bathtub_613,"bathtub, which is located next to the shower glass.",28,"[6.77291, 0.05035, 1.63076]","[-2.03579, 0.38067, 17.66373]"
39,00876-mv2HUxq3B53,cabinet,cabinet_562,the cabinet located next to the mirror. the cabinet serves as a dresser with a flat screen tv on top of it.,36,"[-2.49723, 0.0054, 10.26332]","[4.44996, 0.48448, 11.92404]"
40,00876-mv2HUxq3B53,bathtub,bathtub_310,"jacuzzi tub in relation to other objects in the scene. the bathtub is located next to the towel bar, which is positioned towards the right side of the frame.",28,"[1.88887, 0.05035, 3.50609]","[6.50739, 0.40282, -1.47449]"
41,00813-svBbv1Pavdk,desk,desk_21,desk with a wooden desk and a lamp on it.,29,"[2.43096, 0.02755, 0.13406]","[-0.58163, 0.37654, -2.70029]"
42,00813-svBbv1Pavdk,bathtub,bathtub_58,whirlpool tub located near the shower curtain and toilet.,8,"[6.03512, 0.02755, 1.27312]","[3.1431, 0.26334, -3.47114]"
43,00813-svBbv1Pavdk,washing machine,washing machine_220,"washing machine, a lg front loader washing machine, relative to the outlet.",16,"[2.96013, 0.02755, 0.40895]","[1.19007, 0.55096, 6.32967]"
44,00813-svBbv1Pavdk,cabinet,cabinet_288,cabinet that is located to the right of the plant and below the tv.,36,"[2.43096, 0.02755, 0.13406]","[7.89311, 0.14984, 3.68476]"
45,00813-svBbv1Pavdk,tv,tv_287,tv that is located above the cabinet and to the right of the basket.,22,"[6.03512, 0.02755, 1.27312]","[7.89641, 0.81608, 3.67615]"
46,00848-ziup5kvtCCR,cabinet,cabinet_180,cabinet that has a tv mounted on it.,33,"[3.16216, 0.02122, 5.53275]","[-4.76394, 0.73557, 5.15845]"
47,00848-ziup5kvtCCR,cabinet,cabinet_127,cabinet with a lamp on it. the cabinet is located below the lamp.,31,"[3.16216, 0.02122, 5.53275]","[5.12081, 0.48441, -0.82797]"
48,00848-ziup5kvtCCR,tv,tv_335,"tv that is mounted on the wall, located to the right of the chest of drawers, below the mirror, and slightly above the picture. use these objects as reference points to identify its position.",23,"[2.9082, 0.02122, 3.69514]","[-4.3555, 1.53037, -1.71815]"
49,00848-ziup5kvtCCR,cabinet,cabinet_130,white cabinet with a white washer and dryer. the cabinet is located towards the top right corner of the frame relative to the washer-dryer.,9,"[2.73885, 0.02122, -0.3644]","[6.92434, 1.80356, -0.51449]"
50,00848-ziup5kvtCCR,bed,bed_322,"queen-sized bed located near a curtain, pillow, and cushion.",38,"[2.9082, 0.02122, 3.69514]","[-6.75446, 0.39433, -2.08539]"
